TIME,SPEED
2.344,187.0081
2.346,186.9973
2.348,186.9866
2.350,186.9758
2.352,186.9651
2.354,186.9543
2.356,186.9435
2.358,186.9328
2.360,186.9220
2.362,186.9113
2.364,186.9005
2.366,186.8897
2.368,186.8790
2.370,186.8682
2.372,186.8575
2.374,186.8467
2.376,186.8360
2.378,186.8253
2.380,186.8145
2.382,186.8038
2.384,186.7930
2.386,186.7823
2.388,186.7715
2.390,186.7608
2.392,186.7500
2.394,186.7393
2.396,186.7286
2.398,186.7178
2.400,186.7071
2.402,186.6964
2.404,186.6856
2.406,186.6749
2.408,186.6642
2.410,186.6534
2.412,186.6427
2.414,186.6319
2.416,186.6212
2.418,186.6105
2.420,186.5998
2.422,186.5891
2.424,186.5783
2.426,186.5676
2.428,186.5569
2.430,186.5461
2.432,186.5354
2.434,186.5247
2.436,186.5140
2.438,186.5033
2.440,186.4926
2.442,186.4819
2.444,186.4711
2.446,186.4604
2.448,186.4497
2.450,186.4390
2.452,186.4283
2.454,186.4176
2.456,186.4069
2.458,186.3962
2.460,186.3855
2.462,186.3748
2.464,186.3641
2.466,186.3534
2.468,186.3427
2.470,186.3320
2.472,186.3213
2.474,186.3106
2.476,186.2999
2.478,186.2893
2.480,186.2786
2.482,186.2679
2.484,186.2572
2.486,186.2465
2.488,186.2358
2.490,186.2251
2.492,186.2144
2.494,186.2037
2.496,186.1930
2.498,186.1824
2.500,186.1717
2.502,186.1610
2.504,186.1503
2.506,186.1396
2.508,186.1290
2.510,186.1183
2.512,186.1076
2.514,186.0969
2.516,186.0862
2.518,186.0755
2.520,186.0649
2.522,186.0542
2.524,186.0435
2.526,186.0329
2.528,186.0222
2.530,186.0115
2.532,186.0009
2.534,185.9902
2.536,185.9795
2.538,185.9689
2.540,185.9582
2.542,185.9475
2.544,185.9369
2.546,185.9262
2.548,185.9156
2.550,185.9049
2.552,185.8943
2.554,185.8836
2.556,185.8729
2.558,185.8623
2.560,185.8516
2.562,185.8410
2.564,185.8304
2.566,185.8197
2.568,185.8091
2.570,185.7984
