x;y;u;v;column;row
0.8966;0.8421;0.8966;0.8421;26;16
0.9310;0.8421;0.9310;0.8421;27;16
0.9655;0.8421;0.9655;0.8421;28;16
1.0000;0.8421;1.0000;0.8421;29;16
0.0000;0.8947;0.0000;0.8947;0;17
0.0345;0.8947;0.0345;0.8947;1;17
0.0690;0.8947;0.0690;0.8947;2;17
0.1034;0.8947;0.1034;0.8947;3;17
0.1379;0.8947;0.1379;0.8947;4;17
0.1724;0.8947;0.1724;0.8947;5;17
0.2069;0.8947;0.2069;0.8947;6;17
0.2414;0.8947;0.2414;0.8947;7;17
0.2759;0.8947;0.2759;0.8947;8;17
0.3103;0.8947;0.3103;0.8947;9;17
0.3448;0.8947;0.3448;0.8947;10;17
0.3793;0.8947;0.3793;0.8947;11;17
0.4138;0.8947;0.4138;0.8947;12;17
0.4483;0.8947;0.4483;0.8947;13;17
0.4828;0.8947;0.4828;0.8947;14;17
0.5172;0.8947;0.5172;0.8947;15;17
0.5517;0.8947;0.5517;0.8947;16;17
0.5862;0.8947;0.5862;0.8947;17;17
0.6207;0.8947;0.6207;0.8947;18;17
0.6552;0.8947;0.6552;0.8947;19;17
0.6897;0.8947;0.6897;0.8947;20;17
0.7241;0.8947;0.7241;0.8947;21;17
0.7586;0.8947;0.7586;0.8947;22;17
0.7931;0.8947;0.7931;0.8947;23;17
0.8276;0.8947;0.8276;0.8947;24;17
0.8621;0.8947;0.8621;0.8947;25;17
0.8966;0.8947;0.8966;0.8947;26;17
0.9310;0.8947;0.9310;0.8947;27;17
0.9655;0.8947;0.9655;0.8947;28;17
1.0000;0.8947;1.0000;0.8947;29;17
0.0000;0.9474;0.0000;0.9474;0;18
0.0345;0.9474;0.0345;0.9474;1;18
0.0690;0.9474;0.0690;0.9474;2;18
0.1034;0.9474;0.1034;0.9474;3;18
0.1379;0.9474;0.1379;0.9474;4;18
0.1724;0.9474;0.1724;0.9474;5;18
0.2069;0.9474;0.2069;0.9474;6;18
0.2414;0.9474;0.2414;0.9474;7;18
0.2759;0.9474;0.2759;0.9474;8;18
0.3103;0.9474;0.3103;0.9474;9;18
0.3448;0.9474;0.3448;0.9474;10;18
0.3793;0.9474;0.3793;0.9474;11;18
0.4138;0.9474;0.4138;0.9474;12;18
0.4483;0.9474;0.4483;0.9474;13;18
0.4828;0.9474;0.4828;0.9474;14;18
0.5172;0.9474;0.5172;0.9474;15;18
0.5517;0.9474;0.5517;0.9474;16;18
0.5862;0.9474;0.5862;0.9474;17;18
0.6207;0.9474;0.6207;0.9474;18;18
0.6552;0.9474;0.6552;0.9474;19;18
0.6897;0.9474;0.6897;0.9474;20;18
0.7241;0.9474;0.7241;0.9474;21;18
0.7586;0.9474;0.7586;0.9474;22;18
0.7931;0.9474;0.7931;0.9474;23;18
0.8276;0.9474;0.8276;0.9474;24;18
0.8621;0.9474;0.8621;0.9474;25;18
0.8966;0.9474;0.8966;0.9474;26;18
0.9310;0.9474;0.9310;0.9474;27;18
0.9655;0.9474;0.9655;0.9474;28;18
1.0000;0.9474;1.0000;0.9474;29;18
0.0000;1.0000;0.0000;1.0000;0;19
0.0345;1.0000;0.0345;1.0000;1;19
0.0690;1.0000;0.0690;1.0000;2;19
0.1034;1.0000;0.1034;1.0000;3;19
0.1379;1.0000;0.1379;1.0000;4;19
0.1724;1.0000;0.1724;1.0000;5;19
0.2069;1.0000;0.2069;1.0000;6;19
0.2414;1.0000;0.2414;1.0000;7;19
0.2759;1.0000;0.2759;1.0000;8;19
