x;y;u;v;column;row
0.7931;0.7368;0.8043;0.7680;23;14
0.8276;0.7368;0.8405;0.7683;24;14
0.8621;0.7368;0.8777;0.7687;25;14
0.8966;0.7368;0.9160;0.7691;26;14
0.9310;0.7368;0.9555;0.7695;27;14
0.9655;0.7368;0.9964;0.7699;28;14
1.0000;0.7368;1.0388;0.7704;29;14
0.0000;0.7895;0.0165;0.8125;0;15
0.0345;0.7895;0.0568;0.8123;1;15
0.0690;0.7895;0.0959;0.8122;2;15
0.1034;0.7895;0.1338;0.8121;3;15
0.1379;0.7895;0.1706;0.8120;4;15
0.1724;0.7895;0.2065;0.8120;5;15
0.2069;0.7895;0.2417;0.8120;6;15
0.2414;0.7895;0.2760;0.8121;7;15
0.2759;0.7895;0.3098;0.8122;8;15
0.3103;0.7895;0.3431;0.8124;9;15
0.3448;0.7895;0.3760;0.8125;10;15
0.3793;0.7895;0.4085;0.8128;11;15
0.4138;0.7895;0.4408;0.8130;12;15
0.4483;0.7895;0.4729;0.8133;13;15
0.4828;0.7895;0.5049;0.8137;14;15
0.5172;0.7895;0.5370;0.8140;15;15
0.5517;0.7895;0.5691;0.8145;16;15
0.5862;0.7895;0.6014;0.8149;17;15
0.6207;0.7895;0.6340;0.8154;18;15
0.6552;0.7895;0.6670;0.8160;19;15
0.6897;0.7895;0.7004;0.8166;20;15
0.7241;0.7895;0.7343;0.8173;21;15
0.7586;0.7895;0.7689;0.8180;22;15
0.7931;0.7895;0.8043;0.8188;23;15
0.8276;0.7895;0.8405;0.8196;24;15
0.8621;0.7895;0.8777;0.8205;25;15
0.8966;0.7895;0.9160;0.8215;26;15
0.9310;0.7895;0.9555;0.8225;27;15
0.9655;0.7895;0.9964;0.8236;28;15
1.0000;0.7895;1.0388;0.8248;29;15
0.0000;0.8421;0.0165;0.8655;0;16
0.0345;0.8421;0.0568;0.8647;1;16
0.0690;0.8421;0.0959;0.8640;2;16
0.1034;0.8421;0.1338;0.8634;3;16
0.1379;0.8421;0.1706;0.8629;4;16
0.1724;0.8421;0.2065;0.8625;5;16
0.2069;0.8421;0.2417;0.8621;6;16
0.2414;0.8421;0.2760;0.8619;7;16
0.2759;0.8421;0.3098;0.8617;8;16
0.3103;0.8421;0.3431;0.8617;9;16
0.3448;0.8421;0.3760;0.8617;10;16
0.3793;0.8421;0.4085;0.8617;11;16
0.4138;0.8421;0.4408;0.8619;12;16
0.4483;0.8421;0.4729;0.8622;13;16
0.4828;0.8421;0.5049;0.8625;14;16
0.5172;0.8421;0.5370;0.8629;15;16
0.5517;0.8421;0.5691;0.8634;16;16
0.5862;0.8421;0.6014;0.8640;17;16
0.6207;0.8421;0.6340;0.8647;18;16
0.6552;0.8421;0.6670;0.8655;19;16
0.6897;0.8421;0.7004;0.8664;20;16
0.7241;0.8421;0.7343;0.8674;21;16
0.7586;0.8421;0.7689;0.8684;22;16
0.7931;0.8421;0.8043;0.8696;23;16
0.8276;0.8421;0.8405;0.8709;24;16
0.8621;0.8421;0.8777;0.8723;25;16
0.8966;0.8421;0.9160;0.8739;26;16
0.9310;0.8421;0.9555;0.8755;27;16
0.9655;0.8421;0.9964;0.8773;28;16
1.0000;0.8421;1.0388;0.8793;29;16
0.0000;0.8947;0.0165;0.9186;0;17
0.0345;0.8947;0.0568;0.9171;1;17
0.0690;0.8947;0.0959;0.9159;2;17
0.1034;0.8947;0.1338;0.9148;3;17
0.1379;0.8947;0.1706;0.9138;4;17
0.1724;0.8947;0.2065;0.9129;5;17
0.2069;0.8947;0.2417;0.9122;6;17
0.2414;0.8947;0.2760;0.9117;7;17
0.2759;0.8947;0.3098;0.9113;8;17
0.3103;0.8947;0.3431;0.9110;9;17
0.3448;0.8947;0.3760;0.9108;10;17
0.3793;0.8947;0.4085;0.9107;11;17
0.4138;0.8947;0.4408;0.9108;12;17
0.4483;0.8947;0.4729;0.9110;13;17
0.4828;0.8947;0.5049;0.9114;14;17
0.5172;0.8947;0.5370;0.9118;15;17
0.5517;0.8947;0.5691;0.9124;16;17
0.5862;0.8947;0.6014;0.9131;17;17
0.6207;0.8947;0.6340;0.9140;18;17
0.6552;0.8947;0.6670;0.9150;19;17
0.6897;0.8947;0.7004;0.9161;20;17
0.7241;0.8947;0.7343;0.9174;21;17
0.7586;0.8947;0.7689;0.9189;22;17
0.7931;0.8947;0.8043;0.9205;23;17
0.8276;0.8947;0.8405;0.9222;24;17
0.8621;0.8947;0.8777;0.9242;25;17
0.8966;0.8947;0.9160;0.9263;26;17
0.9310;0.8947;0.9555;0.9286;27;17
0.9655;0.8947;0.9964;0.9310;28;17
1.0000;0.8947;1.0388;0.9337;29;17
0.0000;0.9474;0.0165;0.9716;0;18
0.0345;0.9474;0.0568;0.9696;1;18
0.0690;0.9474;0.0959;0.9677;2;18
0.1034;0.9474;0.1338;0.9661;3;18
0.1379;0.9474;0.1706;0.9646;4;18
0.1724;0.9474;0.2065;0.9634;5;18
0.2069;0.9474;0.2417;0.9623;6;18
0.2414;0.9474;0.2760;0.9615;7;18
0.2759;0.9474;0.3098;0.9608;8;18
0.3103;0.9474;0.3431;0.9602;9;18
0.3448;0.9474;0.3760;0.9599;10;18
0.3793;0.9474;0.4085;0.9597;11;18
0.4138;0.9474;0.4408;0.9597;12;18
0.4483;0.9474;0.4729;0.9599;13;18
0.4828;0.9474;0.5049;0.9602;14;18
0.5172;0.9474;0.5370;0.9607;15;18
0.5517;0.9474;0.5691;0.9614;16;18
0.5862;0.9474;0.6014;0.9622;17;18
0.6207;0.9474;0.6340;0.9633;18;18
0.6552;0.9474;0.6670;0.9645;19;18
0.6897;0.9474;0.7004;0.9659;20;18
0.7241;0.9474;0.7343;0.9675;21;18
0.7586;0.9474;0.7689;0.9693;22;18
0.7931;0.9474;0.8043;0.9713;23;18
0.8276;0.9474;0.8405;0.9735;24;18
0.8621;0.9474;0.8777;0.9760;25;18
0.8966;0.9474;0.9160;0.9786;26;18
0.9310;0.9474;0.9555;0.9816;27;18
0.9655;0.9474;0.9964;0.9848;28;18
1.0000;0.9474;1.0388;0.9882;29;18
0.0000;1.0000;0.0165;1.0247;0;19
0.0345;1.0000;0.0568;1.0220;1;19
0.0690;1.0000;0.0959;1.0196;2;19
0.1034;1.0000;0.1338;1.0174;3;19
0.1379;1.0000;0.1706;1.0155;4;19
0.1724;1.0000;0.2065;1.0139;5;19
0.2069;1.0000;0.2417;1.0124;6;19
0.2414;1.0000;0.2760;1.0113;7;19
0.2759;1.0000;0.3098;1.0103;8;19
0.3103;1.0000;0.3431;1.0095;9;19
