TIME,DISTANCE,SPEED,POWERELECTRICALTOTAL
8.488,360.456,57.16664,750
8.508,361.599,57.16664,750
8.528,362.748,57.16664,750
8.548,363.9,57.16664,750
8.568,365.057,58.19389,750
8.588,366.218,58.19389,750
8.608,367.382,58.19389,750
8.628,368.55,58.19389,750
8.648,369.722,58.19389,750
8.668,370.899,59.17647,750
8.688,372.08,59.17647,750
8.708,373.265,59.17647,750
8.728,374.452,59.17647,750
8.748,375.643,59.17647,750
8.768,376.836,60.1164,750
8.788,378.035,60.1164,750
8.808,379.237,60.1164,750
8.828,380.442,60.1164,750
8.848,381.651,60.1164,750
8.868,382.864,61.01613,750
8.888,384.081,61.01613,750
8.908,385.301,61.01613,750
8.928,386.526,61.01613,750
8.948,387.754,61.01613,750
8.968,388.985,61.90945,750
8.988,390.22,61.90945,750
9.008,391.458,61.90945,750
9.028,392.7,61.90945,750
9.048,393.945,61.90945,750
9.068,395.195,62.79509,750
9.088,396.449,62.79509,750
9.108,397.706,62.79509,750
9.128,398.966,62.79509,750
9.148,400.229,62.79509,750
9.168,401.495,63.65208,750
9.188,402.765,63.65208,750
9.208,404.038,63.65208,750
9.228,405.313,63.65208,750
9.248,406.592,63.65208,750
9.268,407.874,64.49347,750
9.288,409.16,64.49347,750
9.308,410.449,64.49347,750
9.328,411.741,64.49347,750
9.348,413.037,64.49347,750
9.368,414.335,65.31089,750
9.388,415.637,65.31089,750
9.408,416.942,65.31089,750
9.428,418.251,65.31089,750
9.448,419.563,65.31089,750
9.468,420.879,66.11224,750
9.488,422.198,66.11224,750
9.508,423.52,66.11224,750
9.528,424.844,66.11224,750
9.548,426.17,66.11224,750
9.568,427.499,66.93125,750
9.588,428.83,66.93125,750
9.608,430.166,66.93125,750
9.628,431.508,66.93125,750
9.648,432.853,66.93125,750
9.668,434.202,67.77773,750
9.688,435.553,67.77773,750
9.708,436.906,67.77773,750
9.728,438.262,67.77773,750
9.748,439.621,67.77773,750
9.768,440.984,68.6042,750
9.788,442.35,68.6042,750
9.808,443.719,68.6042,750
9.828,445.092,68.6042,750
9.848,446.469,68.6042,750
9.868,447.85,69.42982,750
9.888,449.234,69.42982,750
9.908,450.621,69.42982,750
9.928,452.011,69.42982,750
9.948,453.404,69.42982,750
9.968,454.8,70.23964,750
9.988,456.199,70.23964,750
10.008,457.603,70.23964,750
10.028,459.008,70.23964,750
10.048,460.417,70.23964,750
10.068,461.829,71.00565,750
10.088,463.243,71.00565,750
10.108,464.661,71.00565,750
10.128,466.082,71.00565,750
10.148,467.507,71.00565,750
10.168,468.934,71.75712,750
10.188,470.365,71.75712,750
10.208,471.799,71.75712,750
10.228,473.236,71.75712,750
10.248,474.676,71.75712,750
10.268,476.118,72.4834,750
10.288,477.562,72.4834,750
10.308,479.007,72.4834,750
10.328,480.455,72.4834,750
10.348,481.907,72.4834,750
10.368,483.363,73.15819,750
10.388,484.822,73.15819,750
10.408,486.284,73.15819,750
10.428,487.749,73.15819,750
10.448,489.216,73.15819,750
10.468,490.686,73.85825,750
10.488,492.159,73.85825,750
10.508,493.633,73.85825,750
10.528001,495.109,73.85825,750
10.548001,496.587,73.85825,750
10.568001,498.068,74.52643,750
10.588001,499.552,74.52643,750
10.608001,501.038,74.52643,750
10.628001,502.529,74.52643,750
10.648001,504.023,74.52643,750
10.668001,505.52,75.27689,750
10.688001,507.02,75.27689,750
10.708001,508.523,75.27689,750
10.728001,510.028,75.27689,750
10.748001,511.537,75.27689,750
10.768001,513.049,75.98917,750
10.788001,514.563,75.98917,750
10.808001,516.079,75.98917,750
10.828001,517.599,75.98917,750
10.848001,519.121,75.98917,750
10.868001,520.647,76.67577,750
10.888001,522.174,76.67577,750
10.908001,523.705,76.67577,750
10.928001,525.238,76.67577,750
10.948001,526.773,76.67577,750
10.968001,528.311,77.35513,750
10.988001,529.851,77.35513,675.064
11.008001,531.393,77.35513,534.624
11.028001,532.936,77.35513,418.542
11.048001,534.481,77.35513,298.435
11.068001,536.026,77.70548,205.189
11.088001,537.57,77.70548,143.157
11.108001,539.113,77.70548,95.76
11.128001,540.656,77.70548,81.427
11.148001,542.199,77.70548,78.061
11.168001,543.743,77.39384,79.009
11.188001,545.285,77.39384,79.009
11.208001,546.824,77.39384,79.009
11.228001,548.361,77.39384,79.009
11.248001,549.897,77.39384,79.009
11.268001,551.431,77.03528,82.705
11.288001,552.963,77.03528,87.87
11.308001,554.494,77.03528,90.415
11.328001,556.023,77.03528,92.847
11.348001,557.552,77.03528,98.293
11.368001,559.08,76.78799,107.706
11.388001,560.609,76.78799,112.876
11.408001,562.135,76.78799,117.55
11.428001,563.661,76.78799,120.153
11.448001,565.186,76.78799,123.268
11.468001,566.709,76.53371,127.696
11.488001,568.231,76.53371,135
11.508001,569.752,76.53371,145.906
11.528001,571.273,76.53371,155.151
11.548001,572.794,76.53371,165.564
11.568001,574.314,76.36178,164.406
11.588001,575.833,76.36178,163.327
11.608001,577.35,76.36178,163.327
11.628001,578.867,76.36178,161.022
11.648001,580.382,76.36178,142.416
11.668001,581.897,76.10518,118.603
11.688001,583.41,76.10518,92.847
11.708001,584.923,76.10518,71.556
11.728001,586.433,76.10518,64.335
11.748001,587.943,76.10518,64.335
11.768001,589.45,75.66245,87.741
11.788001,590.956,75.66245,128.055
11.808001,592.461,75.66245,183.619
11.828001,593.964,75.66245,289.107
11.848001,595.466,75.66245,441.505
11.868001,596.968,75.45159,517.657
11.888001,598.47,75.45159,694.402
11.908001,599.973,75.45159,750
11.928001,601.477,75.45159,750
11.948001,602.984,75.45159,750
11.968001,604.493,75.81313,750
11.988001,606.004,75.81313,750
12.008001,607.517,75.81313,750
12.028001,609.031,75.81313,750
12.048001,610.546,75.81313,750
12.068001,612.062,76.1165,750
12.088001,613.58,76.1165,750
12.108001,615.1,76.1165,750
12.128001,616.62,76.1165,750
12.148001,618.143,76.1165,750
12.168001,619.667,76.50158,750
12.188001,621.193,76.50158,750
